occupation,occupation_index
Interior Architecture,301
Internal Medicine Doctor,302
Internet and Cable TV Installing Technician,303
Inventory Planning and Management,304
Investigator,305
Investment Analyst,306
Investment Banker,307
Investment Consultant,308
Ironwork/Metal Fabrication,309
Irrigation Engineer,310
Jewelry Designer,311
Jewelry Technician,312
Job Fair,313
Journalist,314
Key Account Manager,315
Kindergarten Teacher,316
Lab Specialist,317
Lab Technician,318
Laboratory Assistant,319
Laboratory/Pathology Services,320
Landscape Architect,321
Lawyer,322
"Layout,Prepress,Printing & Binding Operations",323
Lecturer,324
Legal Affairs Manager,325
Legal Counsel,326
Legal Officer,327
Librarian,328
Lifeguard,329
Localization,330
Logistic Officer,331
MC,332
Machine Operator,333
Maintenance Technician,334
Makeup Artist,335
Management Information System(MIS),336
Management Trainee,337
Managing Director,338
Marketing Communication,339
Marketing Communication Manager,340
Marketing Coordinator,341
Marketing Director,342
Marketing Manager,343
Marketing Officer,344
Master Control Room Officer,345
Material Control Manager,346
Material Control Officer,347
Material Management Manager,348
Math Teacher,349
Mathematician,350
Mathematics & Statistics,351
Mechanic Technician,352
Mechanical Engineer,353
Media Buyer,354
Media Development Officer,355
Media Director,356
Media Planner,357
Medical Assistant,358
Medical Director,359
Medical Equipment Repair Technician,360
Medical Representative,361
Medical Sale Equipment,362
Medical Scientist,363
Medical Technologist,364
Medical Therapy/Rehab Services,365
Merchandise Manager,366
Merchandiser,367
Messenger,368
Milling Technician,369
Mining Engineer,370
Mobile Technician,371
Moldmaking/Casting,372
Museum Curator,373
Musician,374
Naturapath,375
Network Engineer,376
Neurologist,377
Neurosurgeon,378
News Reporter,379
Nurse,380
Nutritionist,381
Obstetrician,382
Occupational Health and Safety Officer,383
Online Marketing Manager,384
Online Marketing Officer,385
Operation Staff,386
Operation and Maintenance Engineer,387
Operation and Maintenance Transportation,388
Operations Technician,389
Ophthalmologist,390
Optician,391
Optometrist,392
Organizational Development Manager,393
Organizer,394
Orthopedist,395
Oto-rhino-laryngologist,396
Oversea Coordinator,397
PR Coordinator,398
PR Director,399
PR Executive,400
PR Manager,401
PR Specialist,402
Packaging Development,403
Painter,404
Patient Care Technician,405
Pattern Maker,406
Pediatrician,407
Performer/Artist,408
Permanent Secretary,409
Personal Trainer,410
Petrochemical Engineer,411
Petroleum Technician,412
Pharmacist,413
Pharmacist Assistant,414
Photo,415
Photographer,416
Photographer & Videographer,417
Physical Consultant,418
Physical Therapist,419
Physician/Doctor,420
Physicist,421
Physics Teacher,422
Pilot,423
Plant Management Officer,424
Plant/Factory Manager,425
Plastering,426
Plastic Surgeon,427
Plumber/Pipefitting,428
Policy Researcher,429
Porter,430
Practical Nursing,431
Pre Elementary Teacher,432
Presales Support,433
President,434
Printing,435
Printing Technician,436
Process Control Engineer,437
Process Engineer,438
Process Improvement Specialist,439
Producer,440
Product Consultant,441
Product Development Manager,442
Product Manager,443
Product Specialist - Engineer,444
Production,445
Production Control,446
Production Manager,447
Production Planner,448
Production Planning Manager,449
Productivity Improvement,450
Professor,451
Program Assistant,452
Programmer / Software Developer,453
Project Coordinator,454
Project Coordinator - IT,455
Project Engineer,456
Project Manager - IT,457
Proof Reader,458
Property Development Manager,459
Psychiatrist,460
Psychologist,461
Public Health Administrator,462
Publisher,463
Purchasing Executive,464
Purchasing Manager,465
QMS Supervisor,466
Quality Assurance,467
Quality Control,468
Quality Engineer,469
Radio Systems Engineer,470
Radio Technologist,471
Radio and Televison Announcer,472
Radio and Televison Broadcasting,473
Radiologist,474
Receptionist,475
Recreation Therapist,476
Recruiter,477
Regulatory Affairs,478
Reporter,479
Research Director,480
Research Executive,481
Research Manager,482
Research and Development Director,483
Research and Development Engineer,484
Research and Development Executive,485
Research and Development Manager,486
Researcher,487
Reservation Officer,488
Residential Home Builder and Renovator,489
Restaurant Manager,490
Roofing,491
Rules Conduct Administrator,492
Safety Engineer,493
Safety Officer,494
Sales,495
Sales Coordinator,496
Sales Engineer,497
Sales Support,498
Scaffolding Installing Technician,499
Scheduler,500
School Principal,501
Science Teacher,502
Scientist,503
Sculpture,504
Secretary,505
Security Guard,506
Security Manager,507
Security Supervisor,508
Senior Consultant,509
Service Engineer,510
Service Representative,511
Service Technician,512
Shipping Officer,513
Singer,514
Site Engineer,515
Site Foreman,516
Site Manager,517
Social Studies Teacher,518
Social Worker,519
Sociologist,520
Software Architecture,521
Solar Cells Installing Technician,522
Sound and Recording Engineer,523
Special Education Teacher,524
Speech/Language Pathologist,525
Sports Medical Trainer,526
Statistician,527
Stock Controller,528
Store Officer,529
Stylist,530
Sub Board Chest/Critical care,531
Supplier Management/Vendor Management,532
Surgeon,533
Survey Engineer,534
Surveyor,535
System Administrator,536
System Analyst,537
System Architecture,538
TV Repairing Technician,539
Tattoo Designer,540
Tax Assessor,541
Tax Collector,542
Tax Director,543
Tax Manager,544
Teacher,545
Teacher Assistant,546
Teaching Support Staff,547
Technical Service,548
Technical Support,549
Technician,550
Telecommunication Engineer,551
Telephone Operator,552
Tester,553
Testing Engineer,554
Textile Designer,555
Textile Engineer,556
Thai Language Teacher,557
Ticketing Officer,558
Tour Guide,559
Trackwork Technician,560
Traffic Manager,561
Train or Rail Operator,562
Trainer,563
Training Officer,564
Training and Development Manager,565
Translator,566
Transportation Manager,567
Transportation Officer,568
Travel Agent,569
Treasurer,570
Tutor,571
UI/UX Designer,572
Underwriter,573
Urban Architect,574
Urban and Land Use Planner,575
"Vehicle Dispatch,Routing and Scheduling Officer",576
Veterinarian,577
Vice Chairman of Executive Committee,578
Vice President,579
Video Editor,580
Visual Merchandiser,581
Visualizer,582
Voice Over,583
Warehouse Manager,584
Warehouse Officer,585
Warehouse and Logistics Manager,586
Warehouse and Logistics Officer,587
Waste Pick-up and Removal Staff,588
Web Administrator,589
Web Designer,590
Welder,591
Welding Engineer,592
Western Music Teacher,593
Wine Steward (Sommelier),594
Writer,595
other,596
