job_title,occupation_group,occupation,occupation_group_index,occupation_index
นักบิน,Pilot,Pilot,112,423
ทันตแพทย์ Full Time,Dentist,Dentist,39,162
โอนกรรมสิทธิ์และงานดุแลหลังการขาย,Lawyer,Legal Officer,82,327
Research Director - ผู้อำนวยการ (Ads/PR),Advertising and PR,Research Director,5,480
พนักงานประจำออฟฟิต,Administration,Administrator,2,8
Game Mathematician (Jr.),Multimedia,Game Mathematician,96,252
เจ้าหน้าที่ประสานงานคลีนิค,Clinical Coordinator,Clinical Coordinator,28,110
Public Relations Manager,Advertising and PR,PR Manager,5,401
อายุรแพทย์ Sub Board ทุกสาขา/  ศัลยแพทย์ทั่วไป / สูตินรีแพทย์ / กุมารแพทย์ Sub Board/ แพทย์ GP (หลายอัตรา),Physician/Doctor,General Practitioner,110,256
งานเขียนแบบ Autocad,Product Design,CAD Designer,117,79
งานสำหรับคนพิการ,Handicap Candidate,Handicap Candidate,71,274
ครูสอน,Teacher,Teacher,140,545
Sports medicine lead,Physical Consultant,Sports Medical Trainer,109,526
Graphic Designer,Graphic Designer,Graphic Designer,68,263
Seed Health Lab Executive,Lab Technician,Lab Specialist,80,317
Art Director,Art Director,Art Director,13,35
Lead Geological Engineer,Engineering,Geological Engineer,50,258
ผู้กำหนดตารางทำงาน,Administration,Scheduler,2,500
Calibration lab technical manager ( Urgently required),Lab Technician,Lab Specialist,80,317
Account Manager,Account Executive,Account Manager,0,3
ช่างเทคนิค / Technician (งานซ่อมบำรุงและบริหารอาคาร สาขาโรงพยาบาลบีแคร์),Construction/Building Technician,Service Technician,31,512
นักกีฏวิทยา นักวิชาการ QA (แมลงและสัตว์พาหะ),Animal Scientist,Animal Scientist,9,29
survey engineer,Engineering,Survey Engineer,50,534
เจ้าหน้าที่ฝ่ายภาษาต่างประเทศ,Translator,Translator,145,566
Corporate Planning Assistant Manager PT19020105,Finance,Finance Manager,55,221
พนักงานขายเครื่องใช้ไฟฟ้าตัวเล็ก (SA) ยื่ห้อ Sharp กรุงไทยการไฟฟ้า (ประจำที่โฮมโปร รัชดา),Sales,Sales,132,495
เจ้าหน้าที่กระบวนการยุติธรรม,Lawyer,Court Officers & Justices of the Peace,82,143
พนักงานขับรถส่งของ,Driver,Driver,44,181
หัวหน้าศูนย์ปฏิบัติการและการบำรุงรักษาระบบขนส่ง,Engineering,Operation and Maintenance Transportation,50,388
Fitness Manager,Business Manager,Business Manager,24,76
พนักงานธุรกิจ,Marketing,Business Officer,88,77
Choreographer,Performer/Artist,Choreographer,105,104
Neurosurgeon/ศัลยแพทย์ระบบประสาท,Physician/Doctor,Neurosurgeon,110,378
Sr. Tax Assessor,Lawyer,Tax Assessor,82,541
"Website Manager , Media Manager , Advertising Manager , Dev Manager",IT and Computer,IT Manager,74,288
Testing Engineer,Engineering,Testing Engineer,50,554
หัวหน้าคลังสินค้า,Warehouse Management,Warehouse Manager,151,584
คุณครูเด็กอนุบาล และ คุณครูพี่เลี้ยงเด็กอนุบาล,Teacher,Kindergarten Teacher,140,316
พนักงานควบคุมคุณภาพน้ำ,Quality Assurance,Quality Control,126,468
ช่างบริการ,Technician,Technical Support,141,549
G/A Officer,Administration,Administrator,2,8
Customer and Supplier Quality ,Quality Assurance,Quality Assurance,126,467
ศิลปัน Sculpture,Creative Art,Sculpture,36,504
Broadcasting Director,Advertising and PR,Media Director,5,356
An airport Information,Customer Service,Help Desk,37,278
IP Presales Manager <font color=red><b>English resume only!!</b></font>,Sales,Presales Support,132,433
Investment Analyst (Fund Performance-SCBAM),Finance,Investment Analyst,55,306
นักการเงิน,Finance,Financial Planner,55,229
"Dental Technologist, Technician and Laboratory",Medical Technologist,"Dental Technologist, Technician and Laboratory",93,161
Internet Security Admin.,IT and Computer,IT Security,74,289
Teacher of English,Teacher,Teacher,140,545
Support Executive Vice President,Secretary,Secretary,134,505
เจ้าหน้าที่ธุรการคลังวัตถุดิบ,Warehouse Management,Warehouse Officer,151,585
Seller acquisition,Sales,Sales,132,495
Microbiologist – นักจุลชีววิทยา,Biologist,Biologist,19,65
ครูสอนวิชาคอมพิวเตอร์,Teacher,Computer Teacher,140,128
Foreign News Reporter(ผู้สื่อข่าวสายต่างประเทศ),Reporter,News Reporter,127,379
เจ้าหน้าที่ติดตั้ง,othe,other,153,596
<font color=red><b>Urgently Required!!!</b></font><br>Engineer / วิศวกร (4 อัตรา),Engineering,Engineer,50,198
Test Engineer,Engineering,Testing Engineer,50,554
นักเวชศาสตร์สื่อความหมาย (นักแก้ไขการได้ยิน) (1 อัตรา),Medical Therapy/Rehab Services,Audiologist,94,46
Financial Counselor (Nursing),Finance,Financial Consultant,55,225
"หัวหน้าแผนกขายไทวัสดุ (แผนก : เครื่องมือช่าง, ไฟฟ้า, สี/ประปา, อุปกรณ์ตกแต่งภายในบ้าน,สุขภัณฑ์, ครัว, พื้น/กระเบื้อง, โครงสร้าง, เหล็ก, ประตู/หน้าต่าง) – ทุกสาขา ทั้งกทมและต่างจังหวัด",Sales,Sales,132,495
Fund Manager/Analyst (KAsset),Finance,Fund Manager,55,247
Project Coordinator,Project Coordinator,Project Coordinator,121,454
<font color=red><b>URGENTLY REQUIRED !!!</b></font><br>Waiter / Waitress,Food & Beverage Serving,Food & Beverage Serving,60,238
วิทยากรที่ปรึกษา (Management),Lecturer,Lecturer,83,324
Internal Auditor,Accounting,Auditor,1,47
Traffic Officer,Creative,Traffic Manager,35,561
็Help Desk,Customer Service,Help Desk,37,278
นักอุทกวิทยาปฏิบัติการ (3 อัตรา),Hydrologist,Hydrologist,73,283
Senior Welding Engineer,Engineering,Welding Engineer,50,592
หมอประจำวอร์ดอายุรกรรม,Physician/Doctor,Internal Medicine Doctor,110,302
"Sales , Telasales, call center,it",Sales,Sales,132,495
ทนายความ (จบเนติบัณฑิต),Lawyer,Barrister,82,59
ควบคุมเอกสารในระบบการจัดการ (Document Control),Administration,Document Officer,2,176
Marketing Category Assistant,Marketing,Category Management,88,92
ช่างต่อเติมหรือก่อสร้างบ้านพักอาศัย,Construction/Building Technician,Residential Home Builder and Renovator,31,489
เจ้าหน้าที่อาวุโส2 (ผู้รักษาเงิน),Finance,Finance Officer,55,222
พนักงาน มือถือ ASUS ประจำห้าง โลตัส ตราด,Electronic Technician,Mobile Technician,49,371
Petroleum Engineering Internship Program,Engineering,Petrochemical Engineer,50,411
ผู้อำนวยการฝ่ายประชาสัมพันธ์,Advertising and PR,PR Director,5,399
Environmental Engineer/Officer,Engineering,Environmental Engineer,50,201
Traffic & Production Executive/Manager,Transportation Officer,Transportation Manager,146,567
ผู้ช่วยบรรณาธิการ (Thinkbeyond books),Writer and Editor,Assistant Editor,152,40
PR and Communication - Research (Director),Advertising and PR,Research Director,5,480
IT Supporter,IT and Computer,IT Support,74,291
"Researchers <br> : Research and Technology Office, SCG Chemicals",Research and Development,Research and Development Executive,128,485
เจ้าหน้าที่ออกแบบแม่พิมพ์,Engineering,DIE Designer,50,151
service Technician ,Construction/Building Technician,Service Technician,31,512
Event Sales,Event,Event Management,53,207
Psychiatrist,Physician/Doctor,Psychiatrist,110,460
ประธานฝ่ายปฏิบัติการ,Top Level Executive,Chief Operative Officer,142,103
Corporate Government Relation Supervisor-Section Manager (PT17072705),BOI Officer,Government Relation Specialist (BOI),17,262
Government employee,Administration,Administrator,2,8
หัวหน้าชุดทีมช่าง,Construction/Building Technician,Group Leader Technician,31,266
Secretary Management,Secretary,Secretary,134,505
Allergist (Doctor),Physician/Doctor,Allergist,110,24
ช่างภาพและพนักงานขาย,Sales,Sales,132,495
ผู้จัดการด้านลูกค้า,Customer Service,Customer Service Manager,37,149
<font color=red><b>Urgently Required!!!</font color></b> Analysis staff [Job ID:11681],Research and Development,Research and Development Executive,128,485
เจ้าหน้าที่วิเคราะห์,Administration,Administrator,2,8
Scientist (Quality control laboratory – Edible oil),Food Scientist,Food Scientist,63,242
วิศวกรการเกษตร,Engineering,Agricultural Engineer,50,15
เจ้าหน้าที่ระดมทุนและประชาสัมพันธ์โครงการ (Face to Face Fundraising Agent),Fundraiser,Fundraiser,65,248
ผู้สื่อข่าวสายการเมือง เศรษฐกิจ,Reporter,News Reporter,127,379
สถาปนิก,Architecture/Interior,Architect,12,33
MFG - Body Engineer (2 Positions),Engineering,Automotive Engineer,50,49
Sale and marketing,Sales,Sales,132,495
ช่าง Welder/ช่างเทคนิค/จนท.ประจำเครื่องจักร,Technician,Welder,141,591
Jr.Lab Technician,Lab Technician,Lab Technician,80,318
Operation and Maintenance Transportation,Engineering,Operation and Maintenance Transportation,50,388
"จนท.ธุรการยานพาหนะ (เครื่องยนต์,ยาง,แอร์)",Administration,Administrator,2,8
Sports Custodian,Physical Consultant,Sports Medical Trainer,109,526
แพทย์ผู้เชี่ยวชาญด้าน Neuro Medicin (Full Time / Part Time)<br>(1 ตำแหน่ง),Physician/Doctor,Neurologist,110,377
Librarian,Librarian,Librarian,84,328
Account Executive,Account Executive,Account Executive,0,2
Media Planner,Advertising and PR,Media Planner,5,357
ประชาสัมพันธ์,Advertising and PR,PR Executive,5,400
ช่างวิศวกรรมบอยเลอร์ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี,Technician,Electric Boiler Technician,141,189
เจ้าหน้าที่เร่งรัดหนี้สิน,Finance,Collection Representative,55,117
เจ้าหน้าที่ IT SUPPORT(สายร้านอาหาร),IT and Computer,IT Support,74,291
QC,Quality Assurance,Quality Control,126,468
Stylist,Fashion Designer,Stylist,54,530
Distribution Captain ( Retail Supervisor ) ,Marketing,Distribution Manager,88,174
<font color=red><b>Urgently Required!!!</font></b> วิศวกรขาย (อุปกรณ์ระบบทำความเย็น),Sales,Sales Engineer,132,497
<font color=red><b>Urgently Required!!!</font></b> Gemologist (นักอัญมณีศาสตร์) - 1 Position,Gemologist,Gemologist,66,254
ผู้แทนขายเครื่องมือทางการแพทย์,Sales,Medical Representative,132,361
ผู้ช่วยผู้จัดการร้าน,Marketing,Branch Manager,88,67
ช่างทำตู้ไฟฟ้า,Electronic Technician,Electronic Technician,49,192
<font color=red><b>รับสมัครคนพิการสัมภาษณ์ทันที!!!</font></b> QA (ตรวจสอบไฟล์เสียง Call Center) พนักงานประจำ,Quality Assurance,Quality Control,126,468
Junior Counsellor /Counsellor (1ตำแหน่ง),Educational Counsellor,Educational Counsellor,47,187
ช่างเย็บและช่างโพ้ง,Production,Production,118,445
Legal & Compliance Manager,Lawyer,Legal Affairs Manager,82,325
Research Associate (32-52K) (JO-150721-055355),Researcher,Researcher,129,487
ผู้จัดการฝ่ายบริหารชุมชน,Administration,Community Officer,2,125
Security Supervisor,Security Guard,Security Supervisor,135,508
พนักงาน PC TOPS,Sales,Product Consultant,132,441
Web Design and Graphic Printing<br>(1 Position Full - Part Time),Application Designer,Web Designer,10,590
Security Supervisor,Security Guard,Security Supervisor,135,508
ช่างบริการ,Construction/Building Technician,Service Technician,31,512
Government Affairs Manager (Oil &Gas/ Energy),BOI Officer,Government Relation Specialist (BOI),17,262
Process Control Engineer,Engineering,Process Control Engineer,50,437
Import/Export Supervisor,Import and Export,Import and Export Manager,75,292
แอสเซทไวส์เปิดบ้าน สมัครพร้อมสัมภาษณ์ทันที 11พฤศจิกายนนี้,Job Fair,Job Fair,79,313
เจ้าหน้าที่ประกอบอาร์ตเวิร์ค,Advertising,Artwork Coordinator,4,38
เจ้าหน้าที่สาธารณสุข,Public Health Administrator,Public Health Administrator,123,462
เจ้าหน้าที่ / หัวหน้า / ผู้จัดการ Online Marketing,Marketing,Online Marketing Manager,88,384
"วิศวกรรับประกันคุณภาพ, วิศวกรกระบวนการผลิต",Engineering,Quality Engineer,50,469
Hair and Makeup Artist,Hair Cutting/Styling,Hair Cutting/Styling,70,273
<font color=red><b>Urgently Required!!!</font></b> Safety Officer / Sr. Safety Officer (ประจำนิคมอุตสาหกรรมเวลโกรว์ จ.ฉะเชิงเทรา),Safety Officer,Safety Officer,131,494
ช่างเคเบิลทีวี,Internet and Cable TV Technician,Cable Televistion Service and Maintenance Technician,76,83
นักระดมทุน,Fundraiser,Fundraiser,65,248
SERVICE ADVISOR พนักงานรับรถ,Driver,Driver,44,181
Mobile Lab Technician,Electronic Technician,Mobile Technician,49,371
Failure Analysis Engineer (Teparuk Plant),Engineering,Failure Analysis Engineer,50,215
Photographer,Photographer & Videographer,Photographer,108,416
Public Education Executive (Bishan),Economist,Economic Policy Researcher and Analyst,46,184
"<font color=red><b>ด่วน!!!</font></b> พนักงาน Operations Officer, Logistics",Logistic Officer,Logistic Officer,85,331
Civil Engineer,Engineering,Civil Engineer,50,106
วิศวกรธรณีเทคนิค,Engineering,Geological Engineer,50,258
maintenance,Technician,Maintenance Technician,141,334
ช่างเดินสายเคเบิ้ลทีวี,Internet and Cable TV Technician,Cable Televistion Service and Maintenance Technician,76,83
ผู้จัดการอาวุโส/ ผู้ช่วยผู้อำนวยการ/ ผู้อำนวยการสายงานก่อสร้าง (Project Community Mall),Top Level Executive,Director,142,169
Operation Officer,Operation Staff,Operations Technician,103,389
เจ้าหน้าที่ดูแลฟิล์มและกล้องวีดิโอ,Photographer & Videographer,Film and Video Camera Operator,108,219
รับพากย์-อัดเสียง,Voice Over,Voice Over,150,583
พี่เลี้ยงเด็ก,Teacher,Early Childhood Care & Development Staff,140,182
การคมนาคมขนส่ง,Transportation Officer,Transportation Officer,146,568
Chemical Engineer,Engineering,Chemical Engineer,50,96
Administrator – Legal Department,Administration,Administrator,2,8
"นักข่าว, รีไรท์เตอร์, หัวหน้าข่าว ",Writer and Editor,Journalist,152,314
พนักงานขายมือถือ Shop Dtac มาบุญครอง,Sales,Sales,132,495
พนักงานขาย (สามพราน จ.นครปฐม),Sales,Sales,132,495
Lecturer,Lecturer,Lecturer,83,324
Professional,othe,other,153,596
นักวิทยาศาสตร์ห้องปฏิบัติการจุลชีววิทยา (สงขลา),Biologist,Biologist,19,65
Research Director,Research and Development,Research and Development Director,128,483
เจ้าหน้าที่ควบคุมรถไฟฟ้า,Transportation Officer,Train or Rail Operator,146,562
Information Maintainer,IT and Computer,System Analyst,74,537
Production planning control and purchase,Production,Production Control,118,446
ผู้จัดการสาขา/ผู้จัดการเขต,Finance,Finance Manager,55,221
นักออกแบบภูมิทัศน์ จัดแต่งสวน (Landscape),Architecture/Interior,Landscape Architect,12,321
ผู้ช่วยผู้จัดการร้านฝึกหัด,Marketing,Branch Manager,88,67
SAP Basis,IT and Computer,IT Consultant,74,287
ช่างติดตั้งฟิล์ม,Construction/Building Technician,Film Lighting Filter Installing Technician,31,218
Physical Education (PE) Teacher Assistant,Teacher,Health and Physical Education Teacher,140,276
Specialist - Communication,Advertising and PR,Communication Specialist,5,124
Restaurant Expeditor,Food Preparation,Expediter,62,213
Government Affair Staff,BOI Officer,Government Relation Specialist (BOI),17,262
Design Director,Creative,Creative Director,35,147
Editor,Writer and Editor,Editor,152,186
คนเขียนบทละคร,Writer and Editor,Dramatist,152,179
ANALYTICAL CHEMISTRY OFFICER,Chemist,Chemist,27,98
"Commis I, Bakery",Food Preparation,Baker,62,56
College Librarian,Librarian,Librarian,84,328
ผู้ช่วยประธาน / Assistance to president,Secretary,Secretary,134,505
Contact Center Officer,Administration,Telephone Operator,2,552
Business Development,Business Developer,Business Developer,23,73
FA Engineer (New model),Engineering,Failure Analysis Engineer,50,215
Human Resource and Organizational Development Manager  (National Capital Reg - Makati City),HR,Organizational Development Manager,69,393
Human Resource and Organization Development Manager / Director,HR,Organizational Development Manager,69,393
เจ้าหน้าที่ฝ่ายเอกสาร / ธุรการฝ่ายสัญญา / นิติกร / เจ้าหน้าที่จัดการด้านสัญญา,Contracts Administrator,Contracts Administrator,33,137
Data Engineer,Data,Data Engineer,38,154
News Reporter,Reporter,News Reporter,127,379
Physics Teacher (Full Time / Part Time),Teacher,Physics Teacher,140,422
พนักงานสำรวจ (Quality Surveyor),Surveyor,Surveyor,139,535
ทนายความอิสระ,Lawyer,Lawyer,82,322
MC / พิธีกร,Reporter,MC,127,332
แพทย์ (หู คอ จมูก),Physician/Doctor,Oto-rhino-laryngologist,110,396
Key Account Executive,Account Executive,Account Executive,0,2
นังส่งเสริมการเกษตร,Agricultural And Natural Resources,Agricultural and Natural Resource,6,19
Service Officer,Engineering,Technical Service,50,548
Assistant Engineer,Engineering,Engineer,50,198
Cargo Damage Staff,Logistic Officer,Shipping Officer,85,513
พนักงานรับ-ส่งผู้ป่วย (เครือพญาไท),Medical Technologist,Patient Care Technician,93,405
Software Engineer ( DBA ),IT and Computer,Programmer / Software Developer,74,453
Management Trainee,Management Trainee,Management Trainee,87,337
Photo/CAD Staff (J-3926),Product Design,CAD Designer,117,79
3D Game Artist,Multimedia,Game Artist,96,249
พนักงานออกแบบอาร์ตเวิร์คบรรจุภัณฑ์,Research and Development,Packaging Development,128,403
Pilot,Pilot,Pilot,112,423
Root Cause Failure Analysis Engineer,Engineering,Failure Analysis Engineer,50,215
ผู้จัดการความสัมพันธ์ลูกค้าธุรกิจ,Account Executive,Account Manager,0,3
เจ้าหน้าที่ควบคุมเอกสาร (Document Control),Administration,Document Officer,2,176
SAP HR Consultant<br>(National Capital Reg),HR,Human Resources Consultant,69,281
วิศวกรโยธา,Engineering,Civil Engineer,50,106
Senior Employee (Affluent Business Investment Advisory),Finance,Investment Analyst,55,306
Product Consultant/ที่ปรึกษาด้านผลิตภัณฑ์,Sales,Product Consultant,132,441
Night Duty Manager,Security Guard,Security Supervisor,135,508
เจ้าหน้าที่การจัดการกระบวนการและสถานที่ผลิต,Production,Plant Management Officer,118,424
พนักงานติดรถส่งสินค้า,Driver,Driver,44,181
นักวิชาการสิ่งแวดล้อม (Monitor) - 1 อัตรา,Environmental Scientist,Environmental Scientist,51,202
Filling Chief,Operation Staff,Operation Staff,103,386
Mining Industrial Buyer,Engineering,Mining Engineer,50,370
ผู้เชี่ยวชาญด้านมัลติมีเดีย (เปิดรับเด็กฝึกงาน),Advertising and PR,PR Specialist,5,402
R&D Officer / เจ้าหน้าที่วิจัยผลิตภัณฑ์และโครงการ,Research and Development,Research and Development Executive,128,485
Safety Officer / เจ้าหน้าที่ความปลอดภัย (จป.วิชาชีพ)<br><font color=red><b>(Urgently Required!!!)</b></font>,Safety Officer,Occupational Health and Safety Officer,131,383
ลูกจ้างรายวันตามโครงการ,othe,other,153,596
พนักงานซ่อมบำรุง และระบบอาคาร,Construction/Building Technician,Building Facilities Maintenance Staff,31,69
โฟร์แมนสนาม,Engineering,Site Foreman,50,516
Supervisor Geological Engineer,Engineering,Geological Engineer,50,258
MC / พิธีกร,Reporter,MC,127,332
category management analyst,Marketing,Category Management,88,92
Field Engineer (3 อัตรา),Engineering,Site Engineer,50,515
ครูสอนคณิตศาสตร์เด็กอนุบาล Part-time,Teacher,Kindergarten Teacher,140,316
Product and process design engineer,Engineering,Design Engineer,50,166
Clearing and Administration,Administration,Administrator,2,8
Efficiency Improvement Engineer,Engineering,Industrial Engineer,50,296
ประชาสัมพันธ์,Advertising and PR,PR Executive,5,400
เจ้าหน้าที่สถิติผลประโยชน์,Mathematics & Statistics,Statistician,90,527
จิตแพทย์,Physician/Doctor,Psychiatrist,110,460
Confirmations and Contract Administrator,Contracts Administrator,Contracts Administrator,33,137
Animal Scientist,Animal Scientist,Animal Scientist,9,29
IMPORTS MANAGER,Import and Export,Import and Export Manager,75,292
รับสมัครนักพากย์,Voice Over,Voice Over,150,583
Ecological Scientist - New Grads are welcome,Ecological Scientist,Ecological Scientist,45,183
ผู้ช่วยสัตวแพทย์,Veterinarian,Veterinarian,148,577
Electrical Engineer (Bio Power),Engineering,Bio Engineer,50,62
Light and Sound,Audio and Video Recording Technician,Sound and Recording Engineer,16,523
Fitness Attendant,Fitness & Sports Trainer,Fitness & Sports Trainer,57,233
เจ้าหน้าที่เวชระเบียน,Administration,Document Officer,2,176
Ophthalmologist,Physician/Doctor,Ophthalmologist,110,390
ผู้อำนวยการฝ่ายบัญชีการเงิน,Finance,Financial Director,55,228
board man,Operation Staff,Operations Technician,103,389
"เจ้าหน้าที่ ISO , CSR, HR, Administation, secretary",Administration,Administrator,2,8
กรฟฟิคดีไซค์ 2D 3D,Graphic Designer,Graphic Designer,68,263
เเครชเชียร์/เสริฟ์/ครัวพาสต้า,Food & Beverage Serving,Food & Beverage Serving,60,238
ช่างต่อเติม รีโนเวท,Construction/Building Technician,Residential Home Builder and Renovator,31,489
Sales Consultant (Beauty/Skincare/ Spa Product),Sales,Sales,132,495
Hair and Makeup Artist,Makeup Artist,Makeup Artist,86,335
Jr.Lab Technician,Lab Technician,Lab Technician,80,318
